timestamp(ms),XKF1[0].PN,XKF1[1].PN,XKF1[0].PE,XKF1[1].PE
371199.6791087456,-28.936376571655273,-29.020828247070312,-5.441768169403076,-5.459174633026123
371299.6791087456,-28.942289352416992,-29.026203155517578,-5.447649002075195,-5.465185642242432
371399.6791087456,-28.946962356567383,-29.030784606933594,-5.452914237976074,-5.470633029937744
371499.6791087456,-28.950862884521484,-29.03407859802246,-5.457235813140869,-5.4749603271484375
371599.6791087456,-28.954256057739258,-29.03726577758789,-5.460780620574951,-5.478538990020752
371699.6791087456,-28.957305908203125,-29.039600372314453,-5.463219165802002,-5.480785369873047
371799.6791087456,-28.95905303955078,-29.04104232788086,-5.465043544769287,-5.4825639724731445
371899.6791087456,-28.9595890045166,-29.04078483581543,-5.465845584869385,-5.483121395111084
371999.6791087456,-28.959468841552734,-29.04045867919922,-5.466993808746338,-5.484169960021973
372099.6791087456,-28.958890914916992,-29.039234161376953,-5.468076229095459,-5.484896183013916
372199.6791087456,-28.958667755126953,-29.03879165649414,-5.469269752502441,-5.485812664031982
372299.6791087456,-28.958940505981445,-29.038347244262695,-5.470190048217773,-5.486285209655762
372399.6791087456,-28.95946502685547,-29.03858184814453,-5.471477508544922,-5.487220764160156
372499.6791087456,-28.960472106933594,-29.038837432861328,-5.472728252410889,-5.48806619644165
372599.6791087456,-28.961641311645508,-29.039648056030273,-5.474198341369629,-5.4892473220825195
372699.6791087456,-28.963104248046875,-29.040212631225586,-5.475532054901123,-5.490172863006592
372799.6791087456,-28.96395492553711,-29.04057502746582,-5.476650238037109,-5.491055965423584
372899.6791087456,-28.964372634887695,-29.04004669189453,-5.477316856384277,-5.491395473480225
372999.6791087456,-28.965320587158203,-29.04041290283203,-5.4781060218811035,-5.491947650909424
373099.6791087456,-28.967041015625,-29.04107666015625,-5.47873592376709,-5.492223262786865
373199.6791087456,-28.968952178955078,-29.04236602783203,-5.4796013832092285,-5.492828369140625
373299.6791087456,-28.971303939819336,-29.043697357177734,-5.480520248413086,-5.49337911605835
373399.6791087456,-28.973459243774414,-29.045129776000977,-5.481562614440918,-5.494034767150879
373499.6791087456,-28.97568130493164,-29.046142578125,-5.482494354248047,-5.49448823928833
373599.6791087456,-28.977399826049805,-29.047075271606445,-5.484228134155273,-5.495814323425293
373699.6791087456,-28.97887420654297,-29.04735565185547,-5.486664772033691,-5.497791290283203
373799.6791087456,-28.980140686035156,-29.047771453857422,-5.488924503326416,-5.499660015106201
373899.6791087456,-28.98141860961914,-29.047773361206055,-5.490959167480469,-5.501217842102051
373999.6791087456,-28.983707427978516,-29.049083709716797,-5.4931960105896,-5.502999782562256
374099.6791087456,-28.98732566833496,-29.051334381103516,-5.495616436004639,-5.504910945892334
374199.6791087456,-28.99118423461914,-29.05414390563965,-5.498739242553711,-5.507565498352051
374299.6791087456,-28.995830535888672,-29.05733871459961,-5.502604007720947,-5.51095724105835
374399.6791087456,-28.999998092651367,-29.06044578552246,-5.506383895874023,-5.514253616333008
374499.6791087456,-29.003976821899414,-29.06304168701172,-5.5101189613342285,-5.5174336433410645
374599.6791087456,-29.007619857788086,-29.06559944152832,-5.513918399810791,-5.520764350891113
374699.6791087456,-29.011220932006836,-29.067890167236328,-5.518004417419434,-5.524329662322998
374799.6791087456,-29.015352249145508,-29.071029663085938,-5.52271842956543,-5.528549671173096
374899.6791087456,-29.02043914794922,-29.074798583984375,-5.528263092041016,-5.533509731292725
374999.6791087456,-29.025400161743164,-29.078699111938477,-5.534355163574219,-5.538995742797852
375099.6791087456,-29.02741813659668,-29.07981300354004,-5.552043914794922,-5.555184841156006
375199.6791087456,-29.02729034423828,-29.079729080200195,-5.5929083824157715,-5.593396186828613
375299.6791087456,-29.026121139526367,-29.078601837158203,-5.655545711517334,-5.651971817016602
375399.6791087456,-29.026779174804688,-29.079849243164062,-5.735352993011475,-5.726255416870117
375499.6791087456,-29.02983856201172,-29.08339500427246,-5.831341743469238,-5.816208839416504
375599.6791087456,-29.03426742553711,-29.0886173248291,-5.939796447753906,-5.91823148727417
375699.6791087456,-29.039932250976562,-29.094669342041016,-6.059883117675781,-6.032322406768799
375799.6791087456,-29.042091369628906,-29.09745216369629,-6.188488483428955,-6.154093265533447
375899.6791087456,-29.04238510131836,-29.098472595214844,-6.324395179748535,-6.283280372619629
375999.6791087456,-29.04256248474121,-29.09955596923828,-6.467036247253418,-6.418874263763428
376099.6791087456,-29.044776916503906,-29.10243034362793,-6.616036891937256,-6.561167240142822
376199.6791087456,-29.04737663269043,-29.10611343383789,-6.7690887451171875,-6.707385540008545
376299.6791087456,-29.05162239074707,-29.111522674560547,-6.9234843254089355,-6.856156349182129
376399.6791087456,-29.058115005493164,-29.11931037902832,-7.075473785400391,-7.001547813415527
376499.6791087456,-29.067617416381836,-29.12928009033203,-7.224841594696045,-7.144349575042725
376599.6791087456,-29.077943801879883,-29.140186309814453,-7.371801853179932,-7.285435199737549
376699.6791087456,-29.091432571411133,-29.153959274291992,-7.51905632019043,-7.427465915679932
376799.6791087456,-29.102262496948242,-29.16558837890625,-7.667297840118408,-7.570638656616211
376899.6791087456,-29.112815856933594,-29.176612854003906,-7.815951824188232,-7.714324474334717
376999.6791087456,-29.1234188079834,-29.188173294067383,-7.963292598724365,-7.856344223022461
377099.6791087456,-29.135093688964844,-29.20058822631836,-8.109283447265625,-7.997795581817627
377199.6791087456,-29.14565086364746,-29.211811065673828,-8.25429630279541,-8.137840270996094
377299.6791087456,-29.155912399291992,-29.222230911254883,-8.399116516113281,-8.278566360473633
377399.6791087456,-29.16351890563965,-29.23038101196289,-8.542962074279785,-8.418451309204102
377499.6791087456,-29.169408798217773,-29.236295700073242,-8.68540096282959,-8.557312965393066
377599.6791087456,-29.174758911132812,-29.24229621887207,-8.826809883117676,-8.69454288482666
377699.6791087456,-29.180450439453125,-29.248390197753906,-8.967744827270508,-8.831595420837402
377799.6791087456,-29.18531036376953,-29.254661560058594,-9.108229637145996,-8.968208312988281
377899.6791087456,-29.190418243408203,-29.260948181152344,-9.247662544250488,-9.105337142944336
377999.6791087456,-29.194087982177734,-29.265859603881836,-9.387758255004883,-9.242011070251465
378099.6791087456,-29.197275161743164,-29.269672393798828,-9.527679443359375,-9.379823684692383
378199.6791087456,-29.199384689331055,-29.27265167236328,-9.668262481689453,-9.517271995544434
378299.6791087456,-29.201059341430664,-29.274641036987305,-9.808454513549805,-9.655231475830078
378399.6791087456,-29.201644897460938,-29.276060104370117,-9.948457717895508,-9.79238224029541
378499.6791087456,-29.200809478759766,-29.27533531188965,-10.087723731994629,-9.930805206298828
378599.6791087456,-29.199329376220703,-29.274551391601562,-10.226428985595703,-10.067449569702148
378699.6791087456,-29.196575164794922,-29.272390365600586,-10.363784790039062,-10.204029083251953
378799.6791087456,-29.1912899017334,-29.267892837524414,-10.498411178588867,-10.337100982666016
378899.6791087456,-29.183351516723633,-29.25931167602539,-10.630321502685547,-10.467206954956055
378999.6791087456,-29.16991424560547,-29.2459659576416,-10.759183883666992,-10.59525203704834
379099.6791087456,-29.150907516479492,-29.227277755737305,-10.884954452514648,-10.72115707397461
379199.6791087456,-29.121471405029297,-29.198747634887695,-11.006616592407227,-10.842096328735352
379299.6791087456,-29.080825805664062,-29.15919303894043,-11.124383926391602,-10.95974063873291
379399.6791087456,-29.031719207763672,-29.111597061157227,-11.236978530883789,-11.072141647338867
379499.6791087456,-28.97467803955078,-29.055967330932617,-11.344243049621582,-11.180534362792969
379599.6791087456,-28.9072265625,-28.990671157836914,-11.446280479431152,-11.283275604248047
379699.6791087456,-28.831144332885742,-28.916194915771484,-11.541891098022461,-11.381175994873047
379799.6791087456,-28.74761962890625,-28.83522605895996,-11.632112503051758,-11.472783088684082
379899.6791087456,-28.65781593322754,-28.747379302978516,-11.717153549194336,-11.56048583984375
379999.6791087456,-28.558307647705078,-28.6505184173584,-11.794167518615723,-11.63927936553955
380099.6791087456,-28.449932098388672,-28.543954849243164,-11.863120079040527,-11.711864471435547
380199.6791087456,-28.336233139038086,-28.432600021362305,-11.922666549682617,-11.774519920349121
380299.6791087456,-28.21821403503418,-28.31577491760254,-11.973336219787598,-11.829788208007812
380399.6791087456,-28.098468780517578,-28.198171615600586,-12.011052131652832,-11.871500015258789
380499.6791087456,-27.977916717529297,-28.079097747802734,-12.035957336425781,-11.901639938354492
380599.6791087456,-27.853145599365234,-27.956106185913086,-12.048903465270996,-11.919346809387207
380699.6791087456,-27.72582244873047,-27.829689025878906,-12.049464225769043,-11.92585277557373
380799.6791087456,-27.59859275817871,-27.703615188598633,-12.040548324584961,-11.922572135925293
380899.6791087456,-27.47251319885254,-27.577192306518555,-12.023564338684082,-11.912014961242676
380999.6791087456,-27.347652435302734,-27.45280647277832,-11.9945707321167,-11.889056205749512
381099.6791087456,-27.22429084777832,-27.32884407043457,-11.953803062438965,-11.854926109313965
381199.6791087456,-27.10419464111328,-27.208663940429688,-11.901326179504395,-11.809067726135254
381299.6791087456,-26.988075256347656,-27.09088134765625,-11.837747573852539,-11.752681732177734
381399.6791087456,-26.87877082824707,-26.980314254760742,-11.763834953308105,-11.685456275939941
381499.6791087456,-26.77708625793457,-26.876686096191406,-11.680408477783203,-11.609197616577148
381599.6791087456,-26.683757781982422,-26.781240463256836,-11.588135719299316,-11.52314567565918
381699.6791087456,-26.59955406188965,-26.694475173950195,-11.487005233764648,-11.429181098937988
381799.6791087456,-26.525920867919922,-26.618276596069336,-11.379368782043457,-11.328468322753906
381899.6791087456,-26.4644775390625,-26.553464889526367,-11.266637802124023,-11.222810745239258
381999.6791087456,-26.41299819946289,-26.49884796142578,-11.149101257324219,-11.111798286437988
382099.6791087456,-26.37284278869629,-26.45473861694336,-11.026971817016602,-10.99603271484375
382199.6791087456,-26.342586517333984,-26.420856475830078,-10.901168823242188,-10.876461029052734
382299.6791087456,-26.32280158996582,-26.39669418334961,-10.772149085998535,-10.753631591796875
382399.6791087456,-26.310876846313477,-26.38055419921875,-10.641546249389648,-10.62899398803711
382499.6791087456,-26.306133270263672,-26.370927810668945,-10.510021209716797,-10.503087043762207
382599.6791087456,-26.31103515625,-26.370773315429688,-10.376956939697266,-10.37546157836914
382699.6791087456,-26.325605392456055,-26.379276275634766,-10.244568824768066,-10.248144149780273
382799.6791087456,-26.351194381713867,-26.399213790893555,-10.11778736114502,-10.126248359680176
382899.6791087456,-26.387544631958008,-26.429630279541016,-9.996319770812988,-10.008505821228027
382999.6791087456,-26.43718147277832,-26.473600387573242,-9.87817668914795,-9.894206047058105
383099.6791087456,-26.5001163482666,-26.53067970275879,-9.765182495117188,-9.784730911254883
383199.6791087456,-26.572540283203125,-26.59702491760254,-9.658548355102539,-9.681519508361816
383299.6791087456,-26.655841827392578,-26.674001693725586,-9.557875633239746,-9.583634376525879
