timestamp(ms),RCOU.C1,RCOU.C8
371428.9563912715,1400,1500
371528.9563912715,1400,1500
371628.9563912715,1400,1500
371728.9563912715,1400,1500
371828.9563912715,1400,1500
371928.9563912715,1400,1500
372028.9563912715,1400,1500
372128.9563912715,1400,1500
372228.9563912715,1400,1500
372328.9563912715,1400,1500
372428.9563912715,1400,1500
372528.9563912715,1400,1500
372628.9563912715,1400,1500
372728.9563912715,1400,1500
372828.9563912715,1400,1500
372928.9563912715,1400,1500
373028.9563912715,1400,1500
373128.9563912715,1400,1500
373228.9563912715,1400,1500
373328.9563912715,1400,1500
373428.9563912715,1400,1500
373528.9563912715,1400,1500
373628.9563912715,1400,1500
373728.9563912715,1400,1500
373828.9563912715,1400,1500
373928.9563912715,1400,1500
374028.9563912715,1400,1500
374128.9563912715,1400,1500
374228.9563912715,1400,1500
374328.9563912715,1400,1500
374428.9563912715,1400,1500
374528.9563912715,1400,1500
374628.9563912715,1400,1500
374728.9563912715,1400,1500
374828.9563912715,1400,1494
374928.9563912715,1400,1440
375028.9563912715,1400,1421
375128.9563912715,1400,1420
375228.9563912715,1400,1420
375328.9563912715,1400,1420
375428.9563912715,1400,1420
375528.9563912715,1400,1420
375628.9563912715,1400,1416
375728.9563912715,1400,1409
375828.9563912715,1400,1409
375928.9563912715,1400,1381
376028.9563912715,1400,1375
376128.9563912715,1400,1378
376228.9563912715,1400,1404
376328.9563912715,1400,1392
376428.9563912715,1400,1375
376528.9563912715,1400,1352
376628.9563912715,1400,1350
376728.9563912715,1400,1350
376828.9563912715,1400,1350
376928.9563912715,1400,1350
377028.9563912715,1400,1350
377128.9563912715,1400,1350
377228.9563912715,1400,1350
377328.9563912715,1400,1350
377428.9563912715,1400,1350
377528.9563912715,1400,1350
377628.9563912715,1400,1350
377728.9563912715,1400,1350
377828.9563912715,1400,1350
377928.9563912715,1400,1350
378028.9563912715,1400,1350
378128.9563912715,1378,1350
378228.9563912715,1335,1350
378328.9563912715,1274,1350
378428.9563912715,1230,1350
378528.9563912715,1197,1350
378628.9563912715,1155,1350
378728.9563912715,1150,1350
378828.9563912715,1150,1350
378928.9563912715,1150,1350
379028.9563912715,1150,1350
379128.9563912715,1150,1350
379228.9563912715,1150,1350
379328.9563912715,1150,1350
379428.9563912715,1150,1350
379528.9563912715,1150,1350
379628.9563912715,1150,1350
379728.9563912715,1150,1350
379828.9563912715,1150,1350
379928.9563912715,1150,1350
380028.9563912715,1150,1350
380128.9563912715,1150,1350
380228.9563912715,1150,1350
380328.9563912715,1150,1350
380428.9563912715,1150,1350
380528.9563912715,1150,1350
380628.9563912715,1150,1350
380728.9563912715,1150,1350
380828.9563912715,1150,1350
380928.9563912715,1150,1350
381028.9563912715,1150,1350
381128.9563912715,1150,1350
381228.9563912715,1150,1350
381328.9563912715,1150,1350
381428.9563912715,1150,1350
381528.9563912715,1150,1350
381628.9563912715,1150,1350
381728.9563912715,1150,1350
381828.9563912715,1150,1350
381928.9563912715,1150,1350
382028.9563912715,1150,1350
382128.9563912715,1150,1350
382228.9563912715,1150,1350
382328.9563912715,1150,1350
382428.9563912715,1150,1350
382528.9563912715,1150,1350
382628.9563912715,1150,1350
382728.9563912715,1150,1350
382828.9563912715,1150,1350
382928.9563912715,1150,1350
383028.9563912715,1150,1350
383128.9563912715,1150,1350
383228.9563912715,1150,1350
383328.9563912715,1150,1350
383428.9563912715,1150,1350
383528.9563912715,1150,1350
383628.9563912715,1150,1350
383728.9563912715,1150,1350
383828.9563912715,1150,1350
383928.9563912715,1150,1350
384028.9563912715,1150,1350
384128.9563912715,1150,1350
384228.9563912715,1150,1350
384328.9563912715,1150,1350
384428.9563912715,1150,1350
384528.9563912715,1150,1350
384628.9563912715,1150,1350
384728.9563912715,1150,1350
384828.9563912715,1150,1350
384928.9563912715,1150,1350
385028.9563912715,1150,1350
385128.9563912715,1150,1350
385228.9563912715,1150,1350
385328.9563912715,1150,1350
385428.9563912715,1150,1350
385528.9563912715,1150,1350
385628.9563912715,1150,1350
385728.9563912715,1150,1350
385828.9563912715,1150,1350
385928.9563912715,1150,1350
386028.9563912715,1150,1350
386128.9563912715,1150,1350
386228.9563912715,1150,1350
386328.9563912715,1150,1350
386428.9563912715,1150,1350
386528.9563912715,1150,1350
386628.9563912715,1150,1350
386728.9563912715,1150,1350
386828.9563912715,1150,1350
386928.9563912715,1150,1350
387028.9563912715,1150,1350
387128.9563912715,1150,1350
387228.9563912715,1150,1350
387328.9563912715,1150,1350
387428.9563912715,1150,1350
387528.9563912715,1150,1350
387628.9563912715,1150,1350
387728.9563912715,1150,1350
387828.9563912715,1150,1350
387928.9563912715,1150,1350
388028.9563912715,1150,1350
388128.9563912715,1150,1350
388228.9563912715,1150,1350
388328.9563912715,1150,1350
388428.9563912715,1150,1350
388528.9563912715,1150,1350
388628.9563912715,1150,1350
388728.9563912715,1150,1350
388828.9563912715,1150,1350
388928.9563912715,1150,1350
389028.9563912715,1150,1350
389128.9563912715,1150,1350
389228.9563912715,1150,1350
389328.9563912715,1150,1350
389428.9563912715,1150,1350
389528.9563912715,1150,1350
389628.9563912715,1150,1350
389728.9563912715,1150,1350
389828.9563912715,1150,1350
389928.9563912715,1150,1350
390028.9563912715,1150,1350
390128.9563912715,1150,1350
390228.9563912715,1150,1350
390328.9563912715,1150,1350
390428.9563912715,1150,1350
390528.9563912715,1150,1350
390628.9563912715,1150,1350
390728.9563912715,1150,1350
390828.9563912715,1150,1350
390928.9563912715,1150,1350
391028.9563912715,1150,1350
391128.9563912715,1150,1350
391228.9563912715,1150,1350
391328.9563912715,1150,1350
391428.9563912715,1150,1356
391528.9563912715,1150,1491
391628.9563912715,1150,1500
391728.9563912715,1150,1500
391828.9563912715,1150,1500
391928.9563912715,1150,1500
392028.9563912715,1150,1500
392128.9563912715,1150,1500
392228.9563912715,1150,1500
392328.9563912715,1150,1500
392428.9563912715,1150,1500
392528.9563912715,1150,1500
392628.9563912715,1150,1500
392728.9563912715,1150,1500
392828.9563912715,1150,1500
392928.9563912715,1150,1500
393028.9563912715,1150,1500
393128.9563912715,1150,1500
393228.9563912715,1150,1500
393328.9563912715,1150,1500
393428.9563912715,1150,1500
393528.9563912715,1150,1500
393628.9563912715,1150,1500
393728.9563912715,1150,1500
393828.9563912715,1150,1500
393928.9563912715,1150,1500
394028.9563912715,1150,1500
394128.9563912715,1150,1500
394228.9563912715,1150,1500
394328.9563912715,1150,1500
394428.9563912715,1150,1500
394528.9563912715,1150,1500
394628.9563912715,1150,1500
394728.9563912715,1150,1500
394828.9563912715,1150,1500
394928.9563912715,1150,1500
395028.9563912715,1150,1500
395128.9563912715,1150,1500
395228.9563912715,1150,1500
395328.9563912715,1150,1500
395428.9563912715,1150,1500
395528.9563912715,1150,1500
395628.9563912715,1150,1500
395728.9563912715,1150,1500
395828.9563912715,1150,1500
395928.9563912715,1150,1500
396028.9563912715,1150,1500
396128.9563912715,1150,1500
396228.9563912715,1150,1500
396328.9563912715,1150,1500
396428.9563912715,1150,1500
396528.9563912715,1150,1500
396628.9563912715,1150,1500
396728.9563912715,1150,1500
396828.9563912715,1150,1500
396928.9563912715,1150,1500
