timestamp(ms);XKF1[0].PN;XKF1[1].PN;XKF1[0].PE;XKF1[1].PE;POSPN;POSPE2;POSPE
173929.04;-27.91204834;-27.905981063842773;-8.647217751;-8.563002586364746;0.5559864;-3.572309971;2.147170077
174029.04;-27.98586082;-27.979856491088867;-8.746182442;-8.662785530090332;0.48217392;-3.671274662;2.048205386
174129.04;-28.04817009;-28.042560577392578;-8.849722862;-8.764511108398438;0.41986465;-3.774815083;1.944664966
174229.04;-28.10402489;-28.099109649658203;-8.955823898;-8.871010780334473;0.36400985;-3.880916119;1.83856393
174329.04;-28.14625168;-28.14263343811035;-9.063363075;-8.976884841918945;0.32178306;-3.988455296;1.731024753
174429.04;-28.18246651;-28.17998504638672;-9.177537918;-9.091678619384766;0.28556823;-4.102630138;1.61684991
174529.04;-28.20456886;-28.203248977661133;-9.292381287;-9.20528507232666;0.26346588;-4.217473507;1.502006541
174629.04;-28.21751404;-28.217369079589844;-9.41198349;-9.3261137008667;0.2505207;-4.33707571;1.382404338
174729.04;-28.21679115;-28.217899322509766;-9.530747414;-9.44395637512207;0.25124359;-4.455839634;1.263640414
174829.04;-28.21161461;-28.214319229125977;-9.649197578;-9.563979148864746;0.25642013;-4.574289799;1.14519025
174929.04;-28.1941433;-28.19879722595215;-9.763449669;-9.677831649780273;0.27389144;-4.688541889;1.030938159
175029.04;-28.17144203;-28.1778564453125;-9.877398491;-9.793845176696777;0.29659271;-4.802490711;0.916989337
175129.04;-28.13682365;-28.14544677734375;-9.985244751;-9.901678085327148;0.33121109;-4.910336971;0.809143077
175229.04;-28.09314537;-28.103145599365234;-10.09166145;-10.010709762573242;0.37488937;-5.016753674;0.702726378
175329.04;-28.03767014;-28.04991912841797;-10.19032764;-10.10986042022705;0.4303646;-5.115419865;0.604060188
175429.04;-27.97563934;-27.990116119384766;-10.28365803;-10.205577850341797;0.4923954;-5.208750248;0.510729798
175529.04;-27.90322495;-27.92007064819336;-10.36799908;-10.291075706481934;0.56480979;-5.293091297;0.426388748
175629.04;-27.82469177;-27.843162536621094;-10.44752789;-10.373872756958008;0.64334297;-5.372620106;0.346859938
