timestamp(ms),XKF1[0].PN,XKF1[1].PN,XKF1[0].PE,XKF1[1].PE
160329.04,-29.487642288208008,-29.4649658203125,-5.0749077796936035,-5.013994216918945
160429.04,-29.487468719482422,-29.465856552124023,-5.076264381408691,-5.0171685218811035
160529.04,-29.48607063293457,-29.46517562866211,-5.078012466430664,-5.019284248352051
160629.04,-29.486841201782227,-29.46723175048828,-5.0801615715026855,-5.023157119750977
160729.04,-29.485929489135742,-29.46717071533203,-5.082297325134277,-5.025599479675293
160829.04,-29.487226486206055,-29.46967887878418,-5.083891868591309,-5.028878688812256
160929.04,-29.48648452758789,-29.469791412353516,-5.08530330657959,-5.030735969543457
161029.04,-29.484859466552734,-29.46930694580078,-5.0877909660339355,-5.035106658935547
161129.04,-29.481477737426758,-29.466827392578125,-5.090332984924316,-5.038391590118408
161229.04,-29.481260299682617,-29.467973709106445,-5.093388557434082,-5.043483734130859
161329.04,-29.480361938476562,-29.468355178833008,-5.096420764923096,-5.047486782073975
161429.04,-29.483795166015625,-29.473251342773438,-5.100491523742676,-5.053786277770996
161529.04,-29.486413955688477,-29.477188110351562,-5.104518890380859,-5.059049606323242
161629.04,-29.490461349487305,-29.482458114624023,-5.1073689460754395,-5.064267635345459
161729.04,-29.493003845214844,-29.486125946044922,-5.109614849090576,-5.0680975914001465
161829.04,-29.49605369567871,-29.490446090698242,-5.110852241516113,-5.072096824645996
161929.04,-29.49787139892578,-29.493589401245117,-5.1116790771484375,-5.074948310852051
162029.04,-29.500757217407227,-29.497774124145508,-5.113522052764893,-5.079611301422119
162129.04,-29.50281524658203,-29.501148223876953,-5.115447998046875,-5.083521842956543
162229.04,-29.506973266601562,-29.506452560424805,-5.119022846221924,-5.089604377746582
162329.04,-29.510316848754883,-29.51087188720703,-5.122625350952148,-5.094990253448486
162429.04,-29.515729904174805,-29.51695442199707,-5.127295970916748,-5.101950645446777
162529.04,-29.520322799682617,-29.52227020263672,-5.1318488121032715,-5.10806131362915
162629.04,-29.524208068847656,-29.52674674987793,-5.138193130493164,-5.116269111633301
162729.04,-29.527162551879883,-29.530473709106445,-5.144402980804443,-5.123678684234619
162829.04,-29.530731201171875,-29.5345401763916,-5.150768756866455,-5.1316704750061035
162929.04,-29.533836364746094,-29.538272857666016,-5.156631946563721,-5.138652801513672
163029.04,-29.538747787475586,-29.5434627532959,-5.163467884063721,-5.146963119506836
163129.04,-29.543140411376953,-29.54827117919922,-5.169880390167236,-5.154534339904785
163229.04,-29.546627044677734,-29.551847457885742,-5.177022933959961,-5.163112163543701
163329.04,-29.54929542541504,-29.55478286743164,-5.183781623840332,-5.170814514160156
163429.04,-29.550962448120117,-29.556499481201172,-5.189643859863281,-5.1777520179748535
163529.04,-29.552175521850586,-29.55811309814453,-5.194981098175049,-5.18375301361084
163629.04,-29.554168701171875,-29.56028175354004,-5.198700904846191,-5.188368320465088
163729.04,-29.556074142456055,-29.562637329101562,-5.201962471008301,-5.192214012145996
163829.04,-29.558502197265625,-29.56511688232422,-5.205045700073242,-5.1959757804870605
163929.04,-29.560657501220703,-29.567541122436523,-5.20805549621582,-5.199347496032715
164029.04,-29.562171936035156,-29.56894874572754,-5.209146022796631,-5.200935363769531
164129.04,-29.563379287719727,-29.570335388183594,-5.210094451904297,-5.202062606811523
164229.04,-29.56403350830078,-29.570938110351562,-5.211492538452148,-5.203854084014893
164329.04,-29.564682006835938,-29.571882247924805,-5.213084697723389,-5.205615043640137
164429.04,-29.565933227539062,-29.573144912719727,-5.213723182678223,-5.206625938415527
164529.04,-29.567235946655273,-29.57478141784668,-5.2143964767456055,-5.207418441772461
164629.04,-29.567548751831055,-29.575069427490234,-5.216923713684082,-5.2101569175720215
164729.04,-29.567607879638672,-29.575340270996094,-5.219730377197266,-5.212926387786865
164829.04,-29.568838119506836,-29.576438903808594,-5.224144458770752,-5.217529296875
164929.04,-29.568851470947266,-29.576723098754883,-5.230466842651367,-5.223372936248779
165029.04,-29.563695907592773,-29.571491241455078,-5.250636100769043,-5.241885185241699
165129.04,-29.55586051940918,-29.564329147338867,-5.290978908538818,-5.278993606567383
165229.04,-29.542030334472656,-29.551599502563477,-5.3571953773498535,-5.341922760009766
165329.04,-29.524913787841797,-29.536941528320312,-5.4447150230407715,-5.424441814422607
165429.04,-29.508243560791016,-29.522905349731445,-5.559981822967529,-5.535005569458008
165529.04,-29.486572265625,-29.50493812561035,-5.6900634765625,-5.65855073928833
165629.04,-29.4693660736084,-29.490520477294922,-5.840078830718994,-5.803740501403809
165729.04,-29.445281982421875,-29.470050811767578,-5.9981794357299805,-5.955077648162842
165829.04,-29.412540435791016,-29.43988037109375,-6.164300441741943,-6.116412162780762
165929.04,-29.375226974487305,-29.406335830688477,-6.329631805419922,-6.274656772613525
166029.04,-29.34103775024414,-29.374849319458008,-6.493181228637695,-6.433823108673096
166129.04,-29.3055477142334,-29.343320846557617,-6.652582168579102,-6.585696697235107
166229.04,-29.266155242919922,-29.305740356445312,-6.808144569396973,-6.737098693847656
166329.04,-29.223037719726562,-29.26597785949707,-6.961648464202881,-6.883596897125244
166429.04,-29.182994842529297,-29.227935791015625,-7.114049434661865,-7.032230377197266
166529.04,-29.13944435119629,-29.188352584838867,-7.266171455383301,-7.176875591278076
166629.04,-29.096113204956055,-29.146926879882812,-7.418061256408691,-7.325580596923828
166729.04,-29.050064086914062,-29.10443878173828,-7.568811893463135,-7.469822406768799
166829.04,-29.002962112426758,-29.05961799621582,-7.715722560882568,-7.613858222961426
166929.04,-28.953584671020508,-29.013954162597656,-7.8607563972473145,-7.753105640411377
167029.04,-28.903972625732422,-28.965980529785156,-8.004918098449707,-7.894615173339844
167129.04,-28.851713180541992,-28.917333602905273,-8.149121284484863,-8.032622337341309
167229.04,-28.7977294921875,-28.864944458007812,-8.291022300720215,-8.172375679016113
167329.04,-28.741329193115234,-28.812400817871094,-8.432951927185059,-8.307451248168945
167429.04,-28.68671989440918,-28.759384155273438,-8.57521915435791,-8.447591781616211
167529.04,-28.63028907775879,-28.706462860107422,-8.718358993530273,-8.584403038024902
167629.04,-28.576580047607422,-28.65389060974121,-8.8591947555542,-8.723712921142578
167729.04,-28.52084732055664,-28.60112762451172,-8.999494552612305,-8.858046531677246
167829.04,-28.468034744262695,-28.54891014099121,-9.139741897583008,-8.996977806091309
167929.04,-28.412281036376953,-28.495834350585938,-9.280543327331543,-9.132088661193848
168029.04,-28.356046676635742,-28.439899444580078,-9.419722557067871,-9.270374298095703
168129.04,-28.296606063842773,-28.382972717285156,-9.558547019958496,-9.403754234313965
168229.04,-28.236759185791016,-28.323036193847656,-9.694019317626953,-9.538740158081055
168329.04,-28.173110961914062,-28.26178550720215,-9.825824737548828,-9.66568660736084
168429.04,-28.107540130615234,-28.196813583374023,-9.95062255859375,-9.7898530960083
168529.04,-28.035024642944336,-28.12717628479004,-10.070011138916016,-9.904637336730957
168629.04,-27.958341598510742,-28.051889419555664,-10.181268692016602,-10.016725540161133
168729.04,-27.873987197875977,-27.971927642822266,-10.285924911499023,-10.117422103881836
168829.04,-27.78937530517578,-27.888996124267578,-10.381623268127441,-10.214296340942383
168929.04,-27.69673728942871,-27.80086326599121,-10.469719886779785,-10.298645973205566
169029.04,-27.599720001220703,-27.70525360107422,-10.55047607421875,-10.380578994750977
169129.04,-27.492786407470703,-27.602930068969727,-10.621721267700195,-10.447759628295898
169229.04,-27.381982803344727,-27.493175506591797,-10.677443504333496,-10.504958152770996
169329.04,-27.2646484375,-27.379629135131836,-10.721063613891602,-10.545331001281738
169429.04,-27.143449783325195,-27.25919532775879,-10.753686904907227,-10.579983711242676
169529.04,-27.01983642578125,-27.139171600341797,-10.77568244934082,-10.599099159240723
169629.04,-26.901926040649414,-27.02248191833496,-10.780142784118652,-10.605925559997559
169729.04,-26.78318214416504,-26.90718650817871,-10.774149894714355,-10.597724914550781
169829.04,-26.663909912109375,-26.78812026977539,-10.756109237670898,-10.582626342773438
169929.04,-26.544994354248047,-26.671512603759766,-10.728878021240234,-10.55372428894043
170029.04,-26.43233299255371,-26.558076858520508,-10.68830394744873,-10.516653060913086
170129.04,-26.32234764099121,-26.449691772460938,-10.638442039489746,-10.466066360473633
170229.04,-26.215612411499023,-26.34123992919922,-10.578375816345215,-10.410345077514648
170329.04,-26.113433837890625,-26.239727020263672,-10.510300636291504,-10.342381477355957
170429.04,-26.021820068359375,-26.14516258239746,-10.429739952087402,-10.26684284210205
170529.04,-25.9368839263916,-26.059616088867188,-10.342190742492676,-10.180112838745117
170629.04,-25.862688064575195,-25.981931686401367,-10.246513366699219,-10.089762687683105
170729.04,-25.796321868896484,-25.914283752441406,-10.145703315734863,-9.990906715393066
170829.04,-25.73776626586914,-25.850341796875,-10.038031578063965,-9.889359474182129
170929.04,-25.687137603759766,-25.796419143676758,-9.927443504333496,-9.780813217163086
171029.04,-25.646303176879883,-25.750078201293945,-9.809072494506836,-9.668633460998535
171129.04,-25.614727020263672,-25.715055465698242,-9.689109802246094,-9.55091667175293
171229.04,-25.59765625,-25.692241668701172,-9.565510749816895,-9.433449745178223
171329.04,-25.590578079223633,-25.680822372436523,-9.443365097045898,-9.313846588134766
171429.04,-25.598421096801758,-25.682737350463867,-9.3157377243042,-9.192547798156738
171529.04,-25.61634063720703,-25.695966720581055,-9.190799713134766,-9.070307731628418
171629.04,-25.65201759338379,-25.72541046142578,-9.068492889404297,-8.953933715820312
171729.04,-25.6964111328125,-25.76447868347168,-8.952061653137207,-8.840476989746094
171829.04,-25.755210876464844,-25.817272186279297,-8.84019947052002,-8.734228134155273
171929.04,-25.821144104003906,-25.877422332763672,-8.735557556152344,-8.633017539978027
172029.04,-25.89778709411621,-25.947690963745117,-8.631861686706543,-8.534616470336914
172129.04,-25.979511260986328,-26.024078369140625,-8.537589073181152,-8.44269847869873
172229.04,-26.073978424072266,-26.112905502319336,-8.449217796325684,-8.35862922668457
172329.04,-26.172691345214844,-26.20661735534668,-8.37055778503418,-8.281469345092773
172429.04,-26.278715133666992,-26.307384490966797,-8.30258846282959,-8.217228889465332
172529.04,-26.388656616210938,-26.412702560424805,-8.247934341430664,-8.163485527038574
172629.04,-26.504804611206055,-26.524368286132812,-8.203338623046875,-8.121833801269531
172729.04,-26.62070655822754,-26.636022567749023,-8.172370910644531,-8.091126441955566
172829.04,-26.739532470703125,-26.75105857849121,-8.149104118347168,-8.07008171081543
172929.04,-26.856307983398438,-26.864093780517578,-8.135346412658691,-8.056333541870117
173029.04,-26.97857666015625,-26.983232498168945,-8.14108657836914,-8.064068794250488
173129.04,-27.097858428955078,-27.100074768066406,-8.158446311950684,-8.079887390136719
173229.04,-27.220705032348633,-27.22118377685547,-8.185005187988281,-8.106939315795898
173329.04,-27.336565017700195,-27.33527946472168,-8.222243309020996,-8.14199447631836
173429.04,-27.449304580688477,-27.446882247924805,-8.271401405334473,-8.191537857055664
173529.04,-27.554447174072266,-27.550823211669922,-8.330190658569336,-8.248059272766113
173629.04,-27.65641975402832,-27.6522216796875,-8.397723197937012,-8.31589412689209
173729.04,-27.747055053710938,-27.741785049438477,-8.473067283630371,-8.389442443847656
173829.04,-27.8347110748291,-27.828840255737305,-8.557096481323242,-8.474514961242676
173929.04,-27.91204833984375,-27.905981063842773,-8.647217750549316,-8.563002586364746
174029.04,-27.98586082458496,-27.979856491088867,-8.746182441711426,-8.662785530090332
174129.04,-28.04817008972168,-28.042560577392578,-8.849722862243652,-8.764511108398438
174229.04,-28.10402488708496,-28.099109649658203,-8.95582389831543,-8.871010780334473
174329.04,-28.146251678466797,-28.14263343811035,-9.063363075256348,-8.976884841918945
174429.04,-28.182466506958008,-28.17998504638672,-9.17753791809082,-9.091678619384766
174529.04,-28.20456886291504,-28.203248977661133,-9.292381286621094,-9.20528507232666
174629.04,-28.217514038085938,-28.217369079589844,-9.411983489990234,-9.3261137008667
174729.04,-28.2167911529541,-28.217899322509766,-9.530747413635254,-9.44395637512207
